employee_id,first_name,last_name,email,phone_NUMERIC,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,AD_PRES,24000.00,NULL,NULL,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000.00,NULL,100,90
102,Lex,"De Haan",LDEHAAN,515.123.4569,AD_VP,17000.00,NULL,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000.00,NULL,102,60
104,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000.00,NULL,103,60
105,David,Austin,DAUSTIN,590.423.4569,IT_PROG,4800.00,NULL,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,IT_PROG,4800.00,NULL,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,IT_PROG,4200.00,NULL,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,12000.00,NULL,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,FI_ACCOUNT,9000.00,NULL,108,100
110,John,Chen,JCHEN,515.124.4269,FI_ACCOUNT,8200.00,NULL,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,FI_ACCOUNT,7700.00,NULL,108,100
112,"Jose Manuel",Urman,JMURMAN,515.124.4469,FI_ACCOUNT,7800.00,NULL,108,100
113,Luis,Popp,LPOPP,515.124.4567,FI_ACCOUNT,6900.00,NULL,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,PU_MAN,11000.00,NULL,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,PU_CLERK,3100.00,NULL,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,PU_CLERK,2900.00,NULL,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,PU_CLERK,2800.00,NULL,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,PU_CLERK,2600.00,NULL,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,PU_CLERK,2500.00,NULL,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,ST_MAN,8000.00,NULL,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,ST_MAN,8200.00,NULL,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,ST_MAN,7900.00,NULL,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,ST_MAN,6500.00,NULL,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,ST_MAN,5800.00,NULL,100,50
125,Julia,Nayer,JNAYER,650.124.1214,ST_CLERK,3200.00,NULL,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,ST_CLERK,2700.00,NULL,120,50
127,James,Landry,JLANDRY,650.124.1334,ST_CLERK,2400.00,NULL,120,50
128,Steven,Markle,SMARKLE,650.124.1434,ST_CLERK,2200.00,NULL,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,ST_CLERK,3300.00,NULL,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,ST_CLERK,2800.00,NULL,121,50
131,James,Marlow,JAMRLOW,650.124.7234,ST_CLERK,2500.00,NULL,121,50
132,TJ,Olson,TJOLSON,650.124.8234,ST_CLERK,2100.00,NULL,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,ST_CLERK,3300.00,NULL,122,50
134,Michael,Rogers,MROGERS,650.127.1834,ST_CLERK,2900.00,NULL,122,50
135,Ki,Gee,KGEE,650.127.1734,ST_CLERK,2400.00,NULL,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,ST_CLERK,2200.00,NULL,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,ST_CLERK,3600.00,NULL,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,ST_CLERK,3200.00,NULL,123,50
139,John,Seo,JSEO,650.121.2019,ST_CLERK,2700.00,NULL,123,50
